name_first,name_last,uuid,patent_id,inventor_id,#patents
Sujal M.,Patel,t74fr7xz98neckh9b51ebqahk,8706755,6314466-6,20
Sujal M.,Patel,vrt3zt8pnnu82svl8ti0xaubt,9967189,6314466-6,20
Richard,Paterson,2s0r53puf7rv33n3bzb9fb1k5,9391614,9391614-1,2
Richard,Paterson,mrccii1jop06jdm2l89ng1q2c,5803437,5803437-1,2
Oliver P.,Peoples,0gca6gadcl3ai71m0xdztcuu2,5229279,4948733-2,49
Oliver P.,Peoples,1vb7jythzbpf16cm44b0bhxh1,6576450,4948733-2,49
Oliver P.,Peoples,1x0kz8wk7mlfsmtso6t4xmnsu,7455999,4948733-2,49
Oliver P.,Peoples,20f2fktdi43af1f2mrvb10hpl,6913911,4948733-2,49
Oliver P.,Peoples,37y7f74z539q41es3mjfv66jm,5245023,4948733-2,49
Oliver P.,Peoples,3vt6fi2wrjym18iota7l415tj,6528706,4948733-2,49
Oliver P.,Peoples,4l9vxb1ozwh26hnivx25f1fl8,6323010,4948733-2,49
Oliver P.,Peoples,50r8u2uo63um5oz1m63qught6,10113060,4948733-2,49
Oliver P.,Peoples,5n4hhjgn6ig343adw1oyueexl,5798235,4948733-2,49
Oliver P.,Peoples,6k10u62qgspa4x2iq2xmzez7c,4948733,4948733-2,49
Oliver P.,Peoples,6zxtz1azfhhjzhq7mhwjfh56t,9353258,4948733-2,49
Oliver P.,Peoples,73saavbogmz0o88ljem4hsvaj,6380244,4948733-2,49
Oliver P.,Peoples,77yttzvb3xrp2c3aavl96g6xx,5480794,4948733-2,49
Oliver P.,Peoples,7j0yey2i79twfdv2ib0hhcuew,5641660,4948733-2,49
Oliver P.,Peoples,80hg45ovp8fj4n3k6ggsh5q3b,8114643,4948733-2,49
Oliver P.,Peoples,82xbwfqpdbankpq8f3yql80r8,5625030,4948733-2,49
Oliver P.,Peoples,946ygw2akvw75ifz7pl5xs3cu,5534432,4948733-2,49
Oliver P.,Peoples,9iwu5ms1dbdubrv7zze7fdqsb,5512669,4948733-2,49
Oliver P.,Peoples,9ssey68n8vybikj2wwglefeyx,5250430,4948733-2,49
Oliver P.,Peoples,aqs8zrcnyqf3krzx2i3im3c08,8609378,4948733-2,49
Oliver P.,Peoples,aro66nv1m9tka8rmtty04ncj5,7786355,4948733-2,49
Oliver P.,Peoples,ax5m3iaqtek1g40dblb7neniv,9181559,4948733-2,49
Oliver P.,Peoples,c023i1py0oqpig5arzsz5v5zm,8748139,4948733-2,49
Oliver P.,Peoples,dag8t0i0n8fqnm81dse26slzt,9850192,4948733-2,49
Oliver P.,Peoples,dlj6d4n84ywsh30e3in2h2mlu,7229804,4948733-2,49
Oliver P.,Peoples,dxnn1u2elgbz66q3e0kg95bn5,6881560,4948733-2,49
Oliver P.,Peoples,eu957ushgx577lpcf2hgo8zm6,6316262,4948733-2,49
Oliver P.,Peoples,hlxe35fafbgm7c3p5i3c13zyy,8093022,4948733-2,49
Oliver P.,Peoples,iy0jzlrjj6c5whs44eq5ztpb9,7732680,4948733-2,49
Oliver P.,Peoples,jp9w496fnv2y8jneok1j51g0k,6689589,4948733-2,49
Oliver P.,Peoples,l7must45f3m78bx71g0d7l6df,8487159,4948733-2,49
Oliver P.,Peoples,lly7jrdmgs89jwrs1132fxgoc,8742203,4948733-2,49
Oliver P.,Peoples,lrgnpncdzl9qzxox6bulpgavo,9663791,4948733-2,49
Oliver P.,Peoples,m91kmwxgokkqrkfib4yv1o9qk,6329183,4948733-2,49
Oliver P.,Peoples,mp5fw51xpcnxnwg4vw5wlxjdv,8049065,4948733-2,49
Oliver P.,Peoples,mya4my3ufpldkazlknxb0b2ko,7202064,4948733-2,49
Oliver P.,Peoples,nhcw7apfg5jzv3x8bbstwfoyr,8728778,4948733-2,49
Oliver P.,Peoples,nx6yckiuz9q1ipsu183j3m8rf,6586658,4948733-2,49
Oliver P.,Peoples,o5g3l6qeof0ex5gh9ounxihvq,7504556,4948733-2,49
Oliver P.,Peoples,p4sf375au8n45z6mj0qodvwg5,5663063,4948733-2,49
Oliver P.,Peoples,q10xgp68sfrtbyc9hdmab4g0u,6083729,4948733-2,49
Oliver P.,Peoples,qrq2ev180glq4zl5ewdjixwoi,9096861,4948733-2,49
Oliver P.,Peoples,rhdtjiuhcyspmxlb8v2tn20xr,5091376,4948733-2,49
Oliver P.,Peoples,tj0o791zahev85uceils1xyre,6709848,4948733-2,49
Oliver P.,Peoples,trb99fviomz1y4ivkj1667dj3,5661026,4948733-2,49
Oliver P.,Peoples,uok3tkxd561gtfhitqf4okhnu,6207217,4948733-2,49
Oliver P.,Peoples,y0t1o3xpyn8194uy9ua0hobwz,6593116,4948733-2,49
Oliver P.,Peoples,y6kvn6aa6kgzg200rcuxxhwwi,7109007,4948733-2,49
Oliver P.,Peoples,zl2j2lfr0wfsvxccyz3fvklui,7081357,4948733-2,49
John,Pestana,2xwny5y1n6u57p8pfy6ymjg43,9203720,7792844-2,15
John,Pestana,5408a5i4mmwax7tco36wjspbx,8738609,7792844-2,15
John,Pestana,56zq83imo8xqy80y6jypoweku,7792844,7792844-2,15
John,Pestana,7ehs4gjtd75fbgf2p3itisprm,9529859,7792844-2,15
John,Pestana,haud3vbpuye1n09tlqfmg7738,9357366,7792844-2,15
John,Pestana,jbkbhdmf2eacafnmkcvmra8ff,8132095,7792844-2,15
John,Pestana,jbznmlrfs50t7bcss9oixyw22,9418170,7792844-2,15
John,Pestana,k9yyg4c0hoyo0gbdtzqvcdz6a,9412115,7792844-2,15
John,Pestana,oqrqj30sx04woyvqox0mbkwa1,9842133,7792844-2,15
John,Pestana,saxak6uk08lmhbpq5y9djemlo,9390138,7792844-2,15
John,Pestana,tchxzwzrjc1rdld15kmn7zp34,8589790,7792844-2,15
John,Pestana,tiq8hvq4t5dnpm5j39xyz49s7,9189561,7792844-2,15
John,Pestana,utl6qr6qi65uz4q5cyv5sooy9,9606971,7792844-2,15
John,Pestana,ydll7r92dwhlgfa6ymkgb5p3n,8365062,7792844-2,15
John,Pestana,yzm7o4cvb6sz2kgtt48t3ig7e,8578019,7792844-2,15
Simon,Poole,0sqfhfg3rv2gebp1l410llc3q,9490895,4787927-3,2
Simon,Poole,cevjd7pel08kyx2pzd7xgzw85,5966233,4787927-3,2
John,Pottage,qhq88pjw6c58valn5imydxzbf,7741334,7741334-1,1
Richard,Powers,0a71ffnlj7fcl2ifko8ezmaky,7845272,4535823-1,11
Richard,Powers,1ixwv18b0vz8orhn1a1gcy24j,5035671,4535823-1,11
Richard,Powers,3db86qpltd472orl03kcgw59e,7492144,5640388-3,11
Richard,Powers,61v6ey75vbxqrl2nig64mvexo,D529755,4109588-1,11
Richard,Powers,8ig9xtw9cuswu3i9e3czndkdi,7710103,5640388-3,11
Richard,Powers,dhra5l23shf9y4ihr93qek4lm,8241686,4535823-1,11
Richard,Powers,pxbeeyc7sqp0kdcpqj5jeif6v,7931929,4535823-1,11
Richard,Powers,rigbtmihcstqvnozbueapltlo,7673125,7039836-1,11
Richard,Powers,wnjyor14ivdkc9aqd69ppkd60,5511878,4535823-1,11
Richard,Powers,xsu1r4w3mftfc5z02u0yayymz,4535823,4535823-1,11
Richard,Powers,ywxktioxuwa1q2vpxjsrfmvdw,7347327,4109588-1,11
Anand,Prahlad,025h7hgbarg9eeni49ydhw35o,7937702,6418478-2,219
Anand,Prahlad,082dxf3bv9oky7oefv3hswm68,9286398,6418478-2,219
Anand,Prahlad,08jls8ciz4wt8c0pwji9s1zm6,8281028,6418478-2,219
Anand,Prahlad,09pwng6ptzfx9uht077mgrgpi,7490207,6418478-2,219
Anand,Prahlad,0f8wae0me52b01ts4l4uhqbdo,7457790,6418478-2,219
Anand,Prahlad,0jzr8fkbubszta4f9jwud8tec,8285681,6418478-2,219
Anand,Prahlad,0lromhxr183cvvf9mm3w12cyg,7962642,6418478-2,219
Anand,Prahlad,0yd93ddk79j9afndilht7ddzy,8612394,6418478-2,219
Anand,Prahlad,1bncgl39r61f91vbkzp01xhfm,8566278,6418478-2,219
Anand,Prahlad,1m56psk2hfzldha1ythfmow1n,8712969,6418478-2,219
Anand,Prahlad,1pgvax5jxx8btare7hzv2msf4,8442944,6418478-2,219
Anand,Prahlad,1stdfo889i6uq4sbcfjl7yv8q,9002797,6418478-2,219
